Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,sampling_SD,Population_Mean,Population_SD
Poisson{Float64}(λ=0.001),31.6228,3000,0.03329,0.0,0.03329,0.03329,0.0010012,0.0005758661964543172,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.6228,4000,0.05207,0.01792,0.06999,0.03415,0.0010021600000000004,0.0005007248162947553,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.6228,5000,0.03213,0.00664,0.03877,0.02549,0.0010011380000000002,0.0004482449265648657,0.001,0.03162277660168379
Poisson{Float64}(λ=0.001),31.6228,10000,0.0269,0.01048,0.03738,0.01642,0.001000267,0.0003171810756481974,0.001,0.03162277660168379
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,5,0.03906,0.0,0.03906,0.03906,0.020337353631045677,0.06391399009463127,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,10,0.04711,0.0,0.04711,0.04711,0.02033465632462022,0.04529590732796048,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,20,0.05078,0.0,0.05078,0.05078,0.020169082078539492,0.03211188871546092,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,30,0.05214,0.0,0.05214,0.05214,0.01993190747259383,0.025556789071929143,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,40,0.05214,0.0,0.05214,0.05214,0.020052304973736227,0.022322182290914618,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,100,0.04892,0.0,0.04892,0.04892,0.02000440383637127,0.014078920233981242,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,200,0.04474,0.0,0.04474,0.04474,0.01994891274850316,0.0099477984408424,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,300,0.04243,0.00142,0.04385,0.041010000000000005,0.020008443644993854,0.008157232392049787,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,400,0.04069,0.00386,0.04455,0.036829999999999995,0.019993936043390458,0.007041712016942965,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,1000,0.03597,0.01171,0.04768,0.024260000000000004,0.020003701582489715,0.0044610554329390616,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,2000,0.03294,0.01583,0.048769999999999994,0.017109999999999997,0.01999812513637593,0.003149929867627613,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,3000,0.03105,0.0175,0.04855,0.01355,0.019982757007880842,0.002574142944892497,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,4000,0.03109,0.01839,0.049479999999999996,0.0127,0.02000143747932006,0.002228487274986908,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,5000,0.0298,0.01926,0.04906,0.01054,0.01999381872876291,0.001994715561413897,0.02,0.1414213562373095
"Gamma{Float64}(α=0.02, θ=1.0)",20.0,10000,0.02848,0.02099,0.04947,0.007489999999999997,0.02000015284909912,0.0014135384397508258,0.02,0.1414213562373095
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,5,0.04321,0.0,0.04321,0.04321,1.6497901598234654,0.960483517465315,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,10,0.04347,1.0e-5,0.043480000000000005,0.04346,1.647371457041052,0.681848803597085,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,20,0.0421,0.00092,0.043019999999999996,0.04118,1.648456865592429,0.48067151903585703,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,30,0.04086,0.0024,0.04326,0.03846,1.647329873599526,0.39361207377447444,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,40,0.03996,0.00343,0.043390000000000005,0.03653,1.6496468248007832,0.3419689166344171,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,100,0.03654,0.0099,0.04644,0.026640000000000004,1.648239222713129,0.21622576584804742,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,200,0.03373,0.01379,0.04752000000000001,0.019940000000000003,1.6489303350154816,0.15237923628453123,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,300,0.03285,0.01539,0.04824,0.017459999999999996,1.6480768661237608,0.12415493210316614,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,400,0.03222,0.01665,0.04887,0.015569999999999997,1.6491627798531,0.1082518572461784,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,1000,0.02964,0.01906,0.0487,0.010579999999999999,1.6491279418871918,0.06824408176523296,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,2000,0.02906,0.02042,0.049479999999999996,0.008639999999999998,1.6484775755292276,0.0481661750518487,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,3000,0.02806,0.02147,0.049530000000000005,0.006590000000000002,1.6485891948180276,0.039505346381999575,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,4000,0.02781,0.02254,0.050350000000000006,0.00527,1.6486410905248885,0.03422596465881599,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,5000,0.02768,0.02232,0.05,0.00536,1.648723557536711,0.03057712719643821,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.1849,10000,0.02632,0.0237,0.050019999999999995,0.002620000000000001,1.648629951922709,0.02156700194577124,1.6487212707001282,2.1611974158950877
Exponential{Float64}(θ=1.0),2.0,5,0.04345,0.00043,0.04388,0.04302,1.001322396797756,0.44817530233992237,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10,0.03931,0.00583,0.04514,0.033479999999999996,1.0002915067663933,0.3158004115800005,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,20,0.03594,0.01173,0.047670000000000004,0.02421,1.0002762831099459,0.22364124341080138,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,30,0.03395,0.01392,0.04787,0.02003,1.0012541719807797,0.18275430851167024,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,40,0.03232,0.01535,0.047670000000000004,0.01697,1.0001934629329392,0.15784955583108287,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,100,0.02947,0.01932,0.04879,0.01015,1.0001221941600087,0.09957374811734543,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,200,0.029,0.02078,0.049780000000000005,0.008220000000000002,0.999620197962312,0.07036878003285389,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,300,0.02791,0.02152,0.04943,0.00639,0.9999459187095918,0.05782855007097708,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,400,0.02744,0.02188,0.04932,0.005559999999999999,0.9998860366183061,0.04992353931087012,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,1000,0.02665,0.02351,0.050159999999999996,0.0031400000000000004,1.0000129706398153,0.03154957515150674,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,2000,0.0262,0.02317,0.04937,0.0030300000000000014,1.0000397889379808,0.022395565334694376,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,3000,0.02655,0.02383,0.05038,0.00272,0.9999626305088928,0.018295962251313348,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,4000,0.02612,0.02383,0.04995,0.0022900000000000004,0.9999761810802491,0.01579570411100609,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,5000,0.02591,0.02478,0.05069,0.001129999999999999,0.999921282276059,0.01409724330418068,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10000,0.02535,0.02439,0.04974,0.0009600000000000025,0.9999610438148991,0.009967496169080851,1.0,1.0
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,5,0.03983,0.00507,0.044899999999999995,0.03476,1.1337157211702393,0.26962903381388986,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,10,0.03701,0.00959,0.0466,0.02742,1.132784198423185,0.191182238705709,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,20,0.03408,0.0141,0.04818,0.019979999999999998,1.1331954533762323,0.13487050487529956,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,30,0.03301,0.01568,0.04869,0.017329999999999998,1.132740972556286,0.11037274651280653,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,40,0.03247,0.01657,0.04904,0.015899999999999997,1.133287496895288,0.0955255546344037,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,100,0.03006,0.01985,0.049909999999999996,0.01021,1.132908175942768,0.06021114898270283,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,200,0.02709,0.02193,0.04902,0.005159999999999998,1.1333051103327325,0.0426189560471498,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,300,0.0282,0.02237,0.050570000000000004,0.005829999999999998,1.1329726731850813,0.034696472821500075,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,400,0.02759,0.02266,0.05025,0.00493,1.1331936065291204,0.030221540673580106,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,1000,0.02742,0.02292,0.050339999999999996,0.0045000000000000005,1.1332294356554113,0.01907071083155156,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,2000,0.02681,0.02376,0.050570000000000004,0.0030500000000000006,1.133087843483976,0.013428305731557896,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,3000,0.02624,0.02424,0.05048,0.0019999999999999983,1.133120413642268,0.011043675031416863,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,4000,0.02537,0.02427,0.049640000000000004,0.0011000000000000003,1.1331214599771648,0.00955228278056668,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,5000,0.02517,0.0238,0.04897,0.0013699999999999997,1.1331480613942977,0.008560625169833545,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7502,10000,0.02469,0.02536,0.05005,-0.0006700000000000005,1.133121457025939,0.006035828184936118,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,5,0.03297,0.01554,0.04851,0.01743,1.0319974228914597,0.11716067288025954,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,10,0.03118,0.01841,0.049589999999999995,0.01277,1.0315937026251447,0.08302357576840086,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,20,0.02941,0.01985,0.04926,0.009559999999999999,1.0317716503060892,0.058543227128806954,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,30,0.02906,0.02085,0.049909999999999996,0.008209999999999999,1.0315546640348676,0.0478966968239513,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,40,0.02904,0.02081,0.04985,0.008230000000000001,1.0317725595020564,0.04141605999861219,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,100,0.02764,0.02244,0.05008,0.0052,1.0316275437844054,0.02609647980227011,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,200,0.02528,0.02379,0.04907,0.0014900000000000017,1.031832037044614,0.018504312252773308,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,300,0.0269,0.02407,0.05097,0.002829999999999999,1.0316712026635142,0.015058742888850906,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,400,0.0264,0.02431,0.05071,0.0020900000000000016,1.0317469933022714,0.013119492509009663,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,1000,0.02655,0.02404,0.050589999999999996,0.002510000000000002,1.0317724890843019,0.008278070858381779,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,2000,0.02579,0.02501,0.0508,0.0007799999999999994,1.031719708406241,0.005826173560475824,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,3000,0.02533,0.02461,0.04994,0.0007199999999999984,1.0317314431038798,0.004793013767771696,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,4000,0.02544,0.02502,0.050460000000000005,0.00042000000000000023,1.0317316643786052,0.004141775059712525,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,5000,0.02569,0.02456,0.05025,0.0011300000000000025,1.0317429749474485,0.003719057319420935,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7883,10000,0.02488,0.02571,0.050589999999999996,-0.0008300000000000009,1.0317309910284962,0.002621605835931187,1.0317434074991028,0.26201907210920117
"Beta{Float64}(α=0.3, β=0.2)",-0.4,5,0.01963,0.02982,0.04945,-0.010189999999999998,0.6002251056404913,0.17908843233587865,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,10,0.02052,0.02728,0.047799999999999995,-0.006759999999999999,0.6003168125976953,0.12636445183762984,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,20,0.02123,0.02757,0.048799999999999996,-0.006340000000000002,0.5997547392786607,0.08946717131087126,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,30,0.02331,0.02712,0.05043,-0.0038099999999999974,0.5997554574991063,0.07286582465832403,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,40,0.02255,0.02689,0.04944,-0.00434,0.5995273677119517,0.0631639277540082,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,100,0.02365,0.02633,0.04998,-0.0026799999999999984,0.6001372558254257,0.03993338417102494,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,200,0.0236,0.02617,0.049769999999999995,-0.0025699999999999994,0.6000868395707131,0.028232491473582366,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,300,0.02494,0.02546,0.0504,-0.0005199999999999996,0.6001107839943757,0.023129934503858425,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,400,0.02405,0.02571,0.04976,-0.0016600000000000018,0.6000342883554624,0.020022389411730082,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,1000,0.02543,0.02532,0.05075,0.00011000000000000246,0.5999839191258016,0.012656067704030187,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,2000,0.02523,0.02556,0.05079,-0.00033000000000000043,0.6000126686712024,0.008973708275525424,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,3000,0.02549,0.02502,0.05051,0.0004699999999999982,0.6000209137133368,0.007330363126872802,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,4000,0.02453,0.02529,0.04982,-0.0007600000000000003,0.5999967094777919,0.006334754494273688,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,5000,0.02524,0.02448,0.04972,0.0007600000000000003,0.6000031591572093,0.005673494949397352,0.6,0.4
"Beta{Float64}(α=0.3, β=0.2)",-0.4,10000,0.02564,0.02448,0.05012,0.0011600000000000013,0.599998393173439,0.003999193758152966,0.6,0.4
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,5,0.02425,0.02513,0.04938,-0.0008799999999999988,0.0008266374714911703,0.44788107081796835,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,10,0.02539,0.02559,0.05098,-0.00020000000000000226,0.0006114509398083834,0.3154766025023486,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,20,0.02495,0.02468,0.04963,0.0002699999999999994,-0.0004669170341055809,0.22288280856403628,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,30,0.02513,0.02502,0.05015,0.00010999999999999899,-0.00044830233809909677,0.18207167257259915,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,40,0.02501,0.0249,0.049909999999999996,0.00011000000000000246,0.00032587697398503743,0.15780467903988737,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,100,0.02569,0.02431,0.05,0.0013800000000000028,-0.00030342587471499663,0.09969219386068608,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,200,0.02554,0.02536,0.0509,0.0001799999999999996,0.0002221076180144941,0.07078608361476639,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,300,0.02507,0.02514,0.05021,-7.000000000000062e-5,1.594063925681482e-5,0.05762001718321558,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,400,0.02472,0.02441,0.04913,0.0003099999999999978,-4.205287382892265e-5,0.049912482044539457,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,1000,0.02473,0.02449,0.04922,0.00023999999999999716,-6.222323752583154e-5,0.031637213644520025,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,2000,0.02503,0.02478,0.04981,0.0002500000000000002,4.1671483991175636e-5,0.02230809118915762,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,3000,0.02497,0.02565,0.05062,-0.00068,0.00011409135810426879,0.01820022452078512,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,4000,0.02457,0.02532,0.049890000000000004,-0.0007499999999999972,6.084651541883746e-5,0.0158850565638618,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,5000,0.0248,0.0255,0.0503,-0.0006999999999999992,-4.96242626402716e-6,0.014146108878010984,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,10000,0.02521,0.02451,0.04972,0.0006999999999999992,-7.898922936292471e-6,0.01002497651366488,0.0,1.0
