Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,sampling_SD,Population_Mean,Population_SD
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,3000,0.02814,0.02131,0.049449999999999994,0.006829999999999999,-0.001928092324918195,1.0021142540758359,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,4000,0.02856,0.02225,0.050809999999999994,0.00631,-0.0037645688811454507,1.0008134695120499,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,5000,0.02767,0.02232,0.04999,0.005350000000000001,-0.0027501602002319267,1.0022575854172457,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,10000,0.02736,0.02312,0.05048,0.004239999999999997,-0.004054911630402491,1.0012105140654977,1.6487212707001282,2.1611974158950877
Exponential{Float64}(θ=1.0),2.0,5,0.04328,0.0004,0.04368,0.04288,0.005035571607370711,1.0029401054020837,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10,0.03908,0.00566,0.044739999999999995,0.03342,0.003289645661797619,0.9999626925267974,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,20,0.03631,0.01158,0.04789,0.024730000000000002,0.0016269597152917703,1.0003751973432888,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,30,0.03451,0.01336,0.047869999999999996,0.02115,0.0010687301751675254,1.002564903348098,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,40,0.03298,0.01507,0.04805,0.017910000000000002,0.0034809562028481843,1.000225932609775,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,100,0.0299,0.0195,0.0494,0.0104,0.0002757711542699158,0.9975843761433462,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,200,0.02887,0.02038,0.04925,0.008490000000000001,-0.004217724051932155,0.9965655424297282,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,300,0.0282,0.02145,0.04965,0.006749999999999999,-0.003125115191090781,0.9971466308793725,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,400,0.0279,0.02184,0.04974,0.006060000000000003,-0.003604348790732127,0.995777000564986,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,1000,0.02686,0.02317,0.05003,0.003689999999999999,-0.0038107560739599473,0.9960392980001699,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,2000,0.02656,0.02355,0.05011,0.003009999999999999,0.00016859750881978073,0.9983347360261141,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,3000,0.02673,0.02309,0.04982,0.003640000000000001,-0.002885461170695121,0.9988194604701025,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,4000,0.02616,0.02386,0.050019999999999995,0.0023,-0.0006297264064764045,0.9996587213601604,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,5000,0.02569,0.0247,0.050390000000000004,0.0009900000000000013,0.00016394229030000247,0.9972664902486444,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,10000,0.02537,0.02471,0.05008,0.0006600000000000009,-0.003618434511206987,0.9960607016126429,1.0,1.0
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,5,0.04023,0.0049,0.04513,0.03533,0.003188433423857693,1.0008305960629584,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,10,0.03657,0.00975,0.04632,0.026819999999999997,0.0029876783537583513,1.000046753097259,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,20,0.03405,0.01418,0.048229999999999995,0.01987,0.0037788123728728666,1.0023305343818545,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,30,0.03247,0.01602,0.04849,0.01645,0.002891434359076187,1.0010161640177262,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,40,0.03263,0.01687,0.0495,0.01576,0.003890924518519114,1.0016951955348696,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,100,0.0304,0.01973,0.05013,0.010669999999999999,0.0005418211772315765,1.0012176271408977,1.1331484530668263,0.6039005332108811
