Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,Sampling_SD,Sampling_Skewness,Sampling_Kurtosis,Population_Mean,Population_SD
Exponential{Float64}(θ=1.0),2.0,100,0.0302015,0.0190976,0.0492991,0.0111039,1.0000136765919287,0.09995132866703414,0.20047499446519504,0.06077139998643055,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,125,0.0297246,0.0197749,0.0494995,0.009949699999999999,1.0000271234361724,0.08943819392676106,0.17989966424587364,0.04973255474738192,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,150,0.0293649,0.0202709,0.0496358,0.009093999999999998,1.00001990314962,0.08163868110634907,0.16433210096538922,0.04258191283556645,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,175,0.028991,0.020555,0.049546,0.008435999999999999,1.0000249349584527,0.07556616222503813,0.15274576540865836,0.036779296132988915,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,200,0.0287566,0.0208856,0.0496422,0.007871,1.0000185950646916,0.07070444433566482,0.14171808348440124,0.030294517945693933,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,250,0.0283837,0.0213604,0.0497441,0.0070233,1.000008999865588,0.0632547973209607,0.1275312765699465,0.02541926756565216,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,300,0.02809,0.0216204,0.0497104,0.006469599999999999,1.0000066184508742,0.0577276604363798,0.11583553230800499,0.022478539417686516,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,400,0.0276562,0.0221323,0.0497885,0.005523899999999998,0.9999998194689583,0.049994055409695905,0.09961554928168957,0.018564263614809118,1.0,1.0
Exponential{Float64}(θ=1.0),2.0,500,0.0274354,0.0224398,0.049875199999999995,0.004995599999999999,1.00000853017497,0.044722842214511095,0.0889200537391437,0.01372534460205399,1.0,1.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,1,0.0368399,0.0097541,0.046594000000000003,0.0270858,15.99936835460648,3.99880251718416,0.5004780106954188,0.37597650659155724,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,5,0.0307645,0.0184448,0.0492093,0.0123197,16.000058299069522,1.7892862586369236,0.22333865345341547,0.07464927426541035,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,10,0.0292433,0.0204871,0.0497304,0.008756199999999999,16.000102241784365,1.265335222878474,0.1578390038000042,0.03941513547956754,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,20,0.028071,0.0218898,0.0499608,0.006181199999999998,16.000074287901697,0.8948014054149503,0.11136204971393078,0.01693805577915697,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,30,0.027502,0.0225136,0.0500156,0.004988399999999997,15.999933388406184,0.7305994570778015,0.09204707867360852,0.013305762515140263,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,40,0.0271773,0.0227818,0.049959100000000006,0.0043955,16.000045630665475,0.6325978580584631,0.07894823895252769,0.007286129359960647,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,50,0.026963,0.0230418,0.0500048,0.0039212,16.000142134810858,0.5658613569485368,0.06969754198885458,0.00607384832111979,16.0,4.0
"Gamma{Float64}(α=16.0, θ=1.0)",0.5,60,0.0268898,0.0231924,0.05008219999999999,0.0036974,16.0001304393121,0.5167724033510646,0.06567874147524663,0.005531827159444447,16.0,4.0
