Distribution,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference,Sampling_Mean,Sampling_SD,Sampling_Skewness,Sampling_Kurtosis,Population_Mean,Population_SD
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,60,0.0347379,0.0134495,0.048187400000000005,0.021288400000000002,1.3247874578814904,0.14860072982740755,0.4217601898898237,0.39412679145532925,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,70,0.0340966,0.0142604,0.048357,0.0198362,1.3248005876077726,0.13758195443795712,0.3899499709146199,0.3388751117808564,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,80,0.0337524,0.0148937,0.0486461,0.018858700000000003,1.3248033337960203,0.12870360461846844,0.3651325226708328,0.294448768049524,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,90,0.0333163,0.0154897,0.048806,0.017826599999999998,1.3248034075940833,0.12135013116535866,0.34353339557797863,0.26375591486269556,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,100,0.0329776,0.0159624,0.048940000000000004,0.0170152,1.324791107845471,0.11515030444786194,0.32712326156734517,0.24044236680900077,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,125,0.0322245,0.0168911,0.0491156,0.015333400000000004,1.3247934445354834,0.10296614631980411,0.2908087561366493,0.1871895817844602,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,150,0.0317607,0.0175693,0.04933,0.014191400000000003,1.324796340872533,0.09399227069345308,0.2660531417696066,0.1565126619849342,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,175,0.0312673,0.0180944,0.049361699999999994,0.013172899999999998,1.324790523271979,0.08703889804376945,0.2473231634495625,0.13539446762169538,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,200,0.0308876,0.018515,0.049402600000000005,0.012372600000000001,1.3247851007365214,0.08140274809211402,0.2308113715770933,0.11570542141067053,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,250,0.0302269,0.0192091,0.049436,0.011017800000000001,1.3247933561526728,0.07278452383469274,0.20517988398801326,0.09213345294925546,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,300,0.0298694,0.0196789,0.0495483,0.010190500000000002,1.324787512427429,0.06646125836525642,0.18793539043590785,0.07562504644167545,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,400,0.029242,0.0204068,0.0496488,0.008835200000000001,1.3247847979963503,0.05754655121585121,0.1628319388644728,0.05848615538882962,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,500,0.0288479,0.0209038,0.049751699999999996,0.007944099999999999,1.3247789853194814,0.051474212146425516,0.1462939347155853,0.0478730929902893,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,1,0.0381114,0.0,0.0381114,0.0381114,1.6480934348527816,2.1618461707141075,6.167695746668697,101.96826760633552,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,5,0.0431257,0.0,0.0431257,0.0431257,1.6485334026586,0.9670454308889157,2.7992082898252484,23.1669555706457,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,10,0.0430093,2.3e-6,0.0430116,0.043007000000000004,1.6486701138292013,0.6835786189132596,1.9647222392696304,11.356857812379607,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,20,0.0417473,0.0008483,0.042595600000000004,0.040899,1.648567656608759,0.48287918620443143,1.3831996318551236,5.575565540793068,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,30,0.0407366,0.0025023,0.0432389,0.0382343,1.648696171633687,0.39435243203385906,1.1239123942512963,3.623998490374614,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,40,0.0398816,0.0041153,0.043996900000000005,0.0357663,1.6487037246047678,0.34154364379495394,0.9728103805043646,2.7133448011089945,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,50,0.0391957,0.0054733,0.044669,0.0337224,1.6487566693893119,0.30562398219407944,0.8736023884969593,2.214474862177659,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,60,0.038568,0.0066403,0.0452083,0.031927699999999996,1.648708829581299,0.27895737664827563,0.7973565993707632,1.8203123787909057,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,70,0.0380149,0.0076698,0.045684699999999995,0.030345099999999996,1.6487349839396839,0.25828805700845575,0.7387818755002372,1.5728176988696339,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,80,0.0375871,0.0084792,0.0460663,0.0291079,1.648749664128969,0.24163427532958262,0.6928094305442659,1.4135856200196244,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,90,0.0372024,0.0092221,0.046424499999999994,0.027980299999999996,1.6487565428764763,0.2278433939381147,0.6538807789144694,1.273275505803853,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,100,0.0368376,0.0098728,0.0467104,0.026964799999999997,1.648732361771757,0.2161972207415011,0.6215996178377965,1.1475904330604392,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,125,0.0360121,0.0112096,0.0472217,0.024802499999999998,1.6487425652015126,0.1933148977017669,0.5540287988643369,0.9107538335022771,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,150,0.0354587,0.0122195,0.047678200000000004,0.0232392,1.6487517512468512,0.1764688267507782,0.5062348077473373,0.7624295181201592,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,175,0.0349261,0.0130129,0.047939,0.0219132,1.6487354204789948,0.16340683884274793,0.469357101532521,0.6513262854727548,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,200,0.034422,0.0136925,0.048114500000000004,0.0207295,1.6487214017924403,0.15282452877190136,0.4383257103732352,0.5656159954184057,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,250,0.0336234,0.0147958,0.048419199999999996,0.0188276,1.6487396299015593,0.13664958291180068,0.3904175349802059,0.4468593148829467,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,300,0.0331332,0.0155503,0.048683500000000005,0.017582900000000002,1.648730747349821,0.1247751542582245,0.3568289860631039,0.371585054816713,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,400,0.0322432,0.0167563,0.0489995,0.015486900000000001,1.6487267614825096,0.108038603889176,0.30942425333361073,0.2813628881304622,1.6487212707001282,2.1611974158950877
"LogNormal{Float64}(μ=0.0, σ=1.0)",6.184877138632554,500,0.0316637,0.0175802,0.04924390000000001,0.014083500000000002,1.6487156705373878,0.0966364191479197,0.27725856063925364,0.22609674436027039,1.6487212707001282,2.1611974158950877
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,1,0.0249451,0.0249492,0.0498943,-4.099999999999937e-6,-0.00019834448404826345,0.9997055021278505,0.00035061797098804405,0.0005702020791900075,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,5,0.0250075,0.025017,0.0500245,-9.500000000002562e-6,-8.245253803923811e-5,0.44733969546549335,0.0007382235542291026,-0.0024332929494232935,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,10,0.0250479,0.0249609,0.050008800000000006,8.700000000000027e-5,0.00014979320451031762,0.3161489642140908,0.0003276352404286536,7.28101098803613e-5,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,20,0.0249122,0.0249528,0.049865,-4.0600000000001746e-5,6.738065568630531e-5,0.2235324218076138,-0.001004435192035846,0.0005958641093144479,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,30,0.0249676,0.0250218,0.0499894,-5.4200000000000775e-5,3.7207799259144164e-5,0.1825756964988026,-0.0012304496998116964,0.0009625201862362154,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,40,0.0250049,0.0248291,0.049834,0.00017580000000000026,9.003264564120945e-5,0.15806946559324567,0.0005011010268217642,-0.0016977456536770852,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,50,0.024976,0.0249726,0.0499486,3.4000000000006247e-6,5.205255548564171e-5,0.1414046680564602,-0.000821779554684611,-0.0009042991547092427,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,60,0.0250222,0.0249052,0.0499274,0.00011700000000000252,7.413607668136862e-5,0.12908740484761444,-4.595755727893862e-5,-0.002441942643697459,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,70,0.0249837,0.0249023,0.049886,8.14000000000023e-5,-2.108671307266951e-6,0.11949389310650672,0.000680223340097291,0.0009011860591132681,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,80,0.0249214,0.0249695,0.0498909,-4.809999999999884e-5,3.895942329994842e-5,0.1117634906608037,-0.0007996039436484348,0.0002921318567179476,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,90,0.0250308,0.024988,0.0500188,4.279999999999909e-5,2.549402390779719e-5,0.10545111789371844,0.00044611476251361405,-0.0015432262874504055,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,100,0.0251177,0.0249436,0.0500613,0.00017409999999999995,7.128029702103084e-5,0.09999364574052196,0.0003595347640997621,0.0011774864760312198,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,125,0.0250166,0.0250781,0.0500947,-6.149999999999906e-5,-3.314863339504511e-6,0.08944203448884219,-0.0008087116039239252,0.005272858654967294,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,150,0.0250087,0.0249402,0.0499489,6.849999999999912e-5,-5.5097604589320874e-6,0.08162063169547615,0.00041638080283796787,-0.0009674035432709616,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,175,0.025015,0.0250879,0.0501029,-7.290000000000074e-5,-1.8062743154938403e-5,0.07559969814787429,-0.00035399011555797214,-0.002232001369184111,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,200,0.0249516,0.0250128,0.049964400000000006,-6.120000000000084e-5,8.076357459166588e-6,0.07068385254283321,0.0004420004915122838,0.0034323984117468065,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,250,0.0250473,0.0249337,0.049981,0.0001136000000000019,5.868189635147935e-6,0.06323162281229068,0.002297482964171944,0.0012513786307657426,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,300,0.0250134,0.0250439,0.0500573,-3.0499999999999278e-5,-1.5631052478849512e-6,0.057731384462174594,0.0008741850715678915,0.0013441754793874772,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,400,0.0250678,0.0249938,0.0500616,7.400000000000115e-5,4.0386267463579485e-6,0.05000554915929476,0.0013294252958391047,0.0021851926007876443,0.0,1.0
"Normal{Float64}(μ=0.0, σ=1.0)",0.0,500,0.0250636,0.0250121,0.0500757,5.149999999999946e-5,8.642569598774183e-6,0.04472713340871706,-0.000758434123388017,0.00017444419525247667,0.0,1.0
