Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,20,0.0329313,0.0156126,0.3169624951262025,0.1558187347052331,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,30,0.0315827,0.0173597,0.257936766857287,0.09902463231962289,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,40,0.0307683,0.0184798,0.22340913725560244,0.07483731508330971,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,50,0.030218,0.0191539,0.20080522515712595,0.06207454792184075,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,60,0.0298669,0.0196645,0.1843378919543262,0.052632828799136444,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,70,0.0294999,0.0200739,0.1708072425706007,0.04532816683948848,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,80,0.0291861,0.0204687,0.15847205858677169,0.03647239800191926,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,90,0.029013,0.0207391,0.15048081700813845,0.03679626082754295,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,100,0.028807,0.0208927,0.1432352919581442,0.03328175739662509,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,125,0.0284242,0.0213241,0.12760864336525038,0.025358530441987437,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,150,0.0280878,0.0216416,0.11679186796337475,0.019322410189373418,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,175,0.0278813,0.0218967,0.10801769243228411,0.018858087880262442,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,200,0.0277671,0.02208,0.10223821649414544,0.01665082235857618,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,250,0.0274558,0.0224471,0.09086742540485401,0.011745333423468729,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,300,0.0272537,0.0226869,0.08276767835342455,0.010747992514613891,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,350,0.0270655,0.0228195,0.07625795897211125,0.008375844915526454,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,400,0.0269124,0.0230126,0.07202653023613047,0.008305000586925626,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,450,0.02689,0.0230477,0.06731334922178873,0.005019835759381586,2.0,1.4142135623730951
"Gamma{Float64}(α=2.0, θ=1.0)",1.414213562373095,500,0.0268177,0.0231956,0.06437555714587362,0.0068205890046844075,2.0,1.4142135623730951
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,5,0.0357032,0.011427,0.44636832324575265,0.2989589926209808,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,10,0.0329562,0.0155891,0.3166863285215422,0.15439263915990376,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,20,0.0308251,0.0185236,0.22300517262751726,0.07877980829124676,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,30,0.0297769,0.0197259,0.1827052264697641,0.05014043791517109,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,40,0.0291537,0.020428,0.15812153365119178,0.03673742469480645,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,50,0.0287856,0.0208979,0.14154139982135766,0.030306017478167746,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,60,0.0284778,0.0212499,0.1293150456959095,0.023661370853376162,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,70,0.0281824,0.021594,0.11943872086854557,0.02075293008530954,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,80,0.0280015,0.0218349,0.11195171791181613,0.018772508600585436,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,90,0.0278759,0.0219888,0.10686571416746939,0.019780050473503508,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,100,0.0277391,0.0221156,0.10028167252329422,0.015289346480218846,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,125,0.02741,0.0224171,0.08935454382777135,0.00935025397905287,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,150,0.0271742,0.0226293,0.08272806616971766,0.008515555605734804,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,175,0.0270374,0.0227836,0.07702217579145303,0.008483850473790522,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,200,0.0269249,0.0230417,0.07083710423936748,0.007389589701674915,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,250,0.0267339,0.0231921,0.06366162314625883,0.004392781475913932,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,300,0.0266042,0.0233547,0.05891462924208886,0.003936678366773805,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,350,0.0264747,0.0234692,0.053249982616119594,0.0026648334820227326,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,400,0.0264235,0.0236064,0.05079166936045178,0.00369002490140824,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,450,0.0263642,0.0236635,0.04831334336320086,0.004409897921052508,4.0,2.0
"Gamma{Float64}(α=4.0, θ=1.0)",1.0,500,0.0262585,0.0237465,0.04512311300765338,0.003154363969356311,4.0,2.0
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,5,0.0335786,0.014899,0.3484771759337015,0.21868538373909363,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,10,0.0313132,0.0179196,0.24591792020790443,0.10812843305792086,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,20,0.0296435,0.0199956,0.17394194841806151,0.05483092320515803,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,30,0.0288223,0.0209749,0.14274532941762313,0.03561282260840759,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,40,0.0283034,0.0215173,0.12262438743966825,0.02828993015237513,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,50,0.0279921,0.0219503,0.10953342425769963,0.0221526843859281,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,60,0.0277581,0.0221721,0.10077497933858535,0.021952272365620473,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,70,0.0275046,0.0224399,0.09243736526558427,0.016973817002041258,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,80,0.0273642,0.0225455,0.08695790125299872,0.012617875956447921,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,90,0.0272123,0.0227168,0.08136390203771889,0.012619583532230916,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,100,0.0270555,0.0227837,0.07769322935382961,0.011569498629267372,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,125,0.0269206,0.0230836,0.06811650437992839,0.008667096559404897,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,150,0.0267499,0.0232287,0.062328774364177976,0.007549956649505862,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,175,0.0265373,0.0233705,0.05817046639948685,0.0054017969327695425,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,200,0.0264471,0.0234105,0.05483047271375132,0.0031218219146613713,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,250,0.0263137,0.0236372,0.04797460832245829,0.003920901347611583,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,300,0.0262187,0.0237257,0.04455296397862978,0.0025562967098733402,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,350,0.0261367,0.0238439,0.041348132195259,0.0033453562497762768,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,400,0.0260456,0.0239536,0.0382853352499809,0.001726083276074597,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,450,0.0260053,0.0240027,0.03621103827996416,0.0020414127738885846,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,500,0.0259074,0.0240559,0.03470200049764215,0.000785442594831931,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,5,0.0405426,0.0046215,0.7837854690180567,1.189473724911692,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,10,0.0373087,0.0096442,0.5532755451823546,0.5899233434447053,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,20,0.0344531,0.0138377,0.3912362530133631,0.2952655929525565,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,30,0.0329731,0.0158774,0.3199569847312908,0.19623897387707556,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,40,0.0319941,0.0171451,0.27626865920678506,0.14757485119708802,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,50,0.031383,0.0179508,0.24739741519254724,0.11824859526353926,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,60,0.0308289,0.0185777,0.22658760731654612,0.10189044219178145,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,70,0.0303995,0.0190709,0.20890541488176784,0.08617390265156599,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,80,0.0301226,0.0194166,0.19591073296925568,0.07327701042222312,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,90,0.029831,0.0197889,0.18386896792761687,0.06599241068414852,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,100,0.0295735,0.0199945,0.17531448521457424,0.060676887574159455,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,125,0.029103,0.0206125,0.15521454078695407,0.04616461510924008,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,150,0.0288265,0.0209753,0.14210552503174265,0.03885734919051087,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,175,0.028499,0.0212422,0.13234708759389938,0.03302134704869353,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,200,0.0282566,0.021485,0.12366326837857201,0.026454359391541615,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,250,0.027963,0.0218953,0.1094869956938881,0.022252796133677588,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,300,0.0276578,0.0221108,0.10071309251883388,0.01785187160332491,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,350,0.0275506,0.0223853,0.0934822068742151,0.016320317046369492,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,400,0.0273336,0.0225183,0.08697388504266945,0.013704464299995056,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,450,0.0272705,0.02271,0.0821933006528209,0.013033775418941573,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,500,0.0271504,0.0228494,0.07845877961644855,0.01141452197227144,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,5,0.0441269,5.61e-5,1.4653180163472226,4.810162527896627,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,10,0.0419135,0.0020681,1.0327419254393178,2.371011436110983,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,20,0.0391871,0.0064892,0.729169772811074,1.1767990287040222,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,30,0.0375224,0.0092541,0.5949642464482218,0.7781628188821963,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,40,0.0363073,0.0111142,0.514647498149326,0.583768736698306,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,50,0.0354581,0.0123847,0.461464069691781,0.47180908213447026,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,60,0.0347481,0.0134609,0.4217601898898237,0.39412679145532925,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,70,0.0340986,0.0142708,0.3899499709146199,0.3388751117808564,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,80,0.033746,0.0149011,0.3651325226708328,0.294448768049524,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,90,0.0333005,0.0154933,0.34353339557797863,0.26375591486269556,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,100,0.0329393,0.0159375,0.32712326156734517,0.24044236680900077,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,125,0.0322181,0.0168934,0.2908087561366493,0.1871895817844602,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,150,0.0317548,0.0175758,0.2660531417696066,0.1565126619849342,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,175,0.0312392,0.0180761,0.2473231634495625,0.13539446762169538,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,200,0.0308828,0.0185119,0.2308113715770933,0.11570542141067053,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,250,0.0302539,0.0192462,0.20517988398801326,0.09213345294925546,1.3247847587288655,1.1511568928507236
"LogNormal{Float64}(μ=0.0, σ=0.75)",3.262912728207002,300,0.0298704,0.0196841,0.18793539043590785,0.07562504644167545,1.3247847587288655,1.1511568928507236
