Distribution,Params,Skewness,Sample_Size,Upper_Tail,Lower_Tail,Tail_Sum,Tail_Difference
LogNormal,"[0.0, 0.25]",0.7883,400,0.02664,0.02367,0.05031,0.0029700000000000004
LogNormal,"[0.0, 0.25]",0.7883,1000,0.02651,0.02378,0.05029,0.00273
LogNormal,"[0.0, 0.25]",0.7883,2000,0.02552,0.02415,0.049670000000000006,0.0013699999999999997
LogNormal,"[0.0, 0.25]",0.7883,3000,0.02566,0.02441,0.05007,0.0012499999999999976
LogNormal,"[0.0, 0.25]",0.7883,4000,0.02615,0.02477,0.05092,0.0013799999999999993
LogNormal,"[0.0, 0.25]",0.7883,5000,0.02606,0.02424,0.0503,0.0018199999999999987
LogNormal,"[0.0, 0.25]",0.7883,10000,0.02503,0.02499,0.050019999999999995,4.000000000000184e-5
Beta,"[0.3, 0.2]",-0.4,5,0.01973,0.03012,0.049850000000000005,-0.01039
Beta,"[0.3, 0.2]",-0.4,10,0.02028,0.02757,0.047850000000000004,-0.007290000000000001
Beta,"[0.3, 0.2]",-0.4,20,0.02137,0.02702,0.04839,-0.005649999999999999
Beta,"[0.3, 0.2]",-0.4,30,0.02262,0.02665,0.04927,-0.004029999999999999
Beta,"[0.3, 0.2]",-0.4,40,0.02268,0.02734,0.050019999999999995,-0.004660000000000001
Beta,"[0.3, 0.2]",-0.4,100,0.02395,0.02625,0.050199999999999995,-0.0023
Beta,"[0.3, 0.2]",-0.4,200,0.0238,0.0254,0.0492,-0.0015999999999999973
Beta,"[0.3, 0.2]",-0.4,300,0.02454,0.02601,0.05055,-0.001469999999999999
Beta,"[0.3, 0.2]",-0.4,400,0.02443,0.02558,0.05001,-0.0011499999999999982
Beta,"[0.3, 0.2]",-0.4,1000,0.0251,0.02582,0.05092,-0.0007199999999999984
Beta,"[0.3, 0.2]",-0.4,2000,0.02534,0.02489,0.05023,0.0004500000000000025
Beta,"[0.3, 0.2]",-0.4,3000,0.02523,0.02476,0.04999,0.0004699999999999982
Beta,"[0.3, 0.2]",-0.4,4000,0.02481,0.02524,0.05005,-0.0004299999999999998
Beta,"[0.3, 0.2]",-0.4,5000,0.02505,0.02508,0.05013,-3.0000000000002247e-5
Beta,"[0.3, 0.2]",-0.4,10000,0.02492,0.02401,0.04893,0.0009100000000000011
Normal,Any[],0.0,5,0.0251,0.02518,0.050280000000000005,-8.000000000000021e-5
Normal,Any[],0.0,10,0.02538,0.02545,0.05083,-7.000000000000062e-5
Normal,Any[],0.0,20,0.02532,0.02469,0.05001,0.0006299999999999986
Normal,Any[],0.0,30,0.02548,0.02547,0.050949999999999995,9.999999999999593e-6
Normal,Any[],0.0,40,0.02505,0.02501,0.05006,3.999999999999837e-5
Normal,Any[],0.0,100,0.02585,0.02452,0.05037,0.0013300000000000013
Normal,Any[],0.0,200,0.02494,0.02474,0.04968,0.0001999999999999988
Normal,Any[],0.0,300,0.025,0.02573,0.05073,-0.000729999999999998
Normal,Any[],0.0,400,0.02459,0.0248,0.04939,-0.00020999999999999838
Normal,Any[],0.0,1000,0.02496,0.02502,0.04998,-6.0000000000001025e-5
Normal,Any[],0.0,2000,0.02463,0.02483,0.049460000000000004,-0.00020000000000000226
Normal,Any[],0.0,3000,0.02524,0.02577,0.05101,-0.0005300000000000027
Normal,Any[],0.0,4000,0.02468,0.02499,0.04967,-0.0003099999999999978
Normal,Any[],0.0,5000,0.0243,0.0248,0.0491,-0.0005000000000000004
Normal,Any[],0.0,10000,0.02512,0.02475,0.04987,0.0003699999999999988
