Distribution,Skewness,Sample Size,Upper Tail,Lower Tail,Sampling Skewness,Sampling Kurtosis,Population Mean,Population SD
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,175,0.0210849,0.0274934,-0.11852644198609735,0.061209579324255525,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,200,0.0213935,0.0273513,-0.11014119682159795,0.05284119062403869,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,250,0.0218201,0.0271645,-0.09966494760286485,0.04432745185370157,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,300,0.022137,0.0269895,-0.09017237308967802,0.03524146738234979,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,350,0.0223445,0.0269262,-0.08341297793492,0.031290798926436825,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,400,0.0225398,0.026829,-0.0784415995255422,0.026949874516156047,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,450,0.0226928,0.0267713,-0.07401218605397356,0.024399097499697042,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.25)",0.7782516357974832,500,0.0227974,0.0266797,-0.06982199532711816,0.020644153760262185,1.0317434074991028,0.26201907210920117
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,5,0.0014909,0.0213554,-2.7787682129480467,37.00087166456705,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,10,0.0024828,0.0302759,-1.144310894614901,3.3046733766145193,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,20,0.0054923,0.0333007,-0.752724533447988,1.3446717257906693,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,30,0.0078585,0.0336963,-0.6089890073347549,0.8763879572717381,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,40,0.0096106,0.0336038,-0.5298415502813968,0.6677457584674955,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,50,0.0109805,0.0333565,-0.47424785788596635,0.5335708763131435,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,60,0.0120617,0.0330562,-0.433777921386268,0.4517440141718443,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,70,0.012905,0.0328259,-0.4039736261757283,0.391831361221302,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,80,0.01362,0.032535,-0.37743033840194967,0.34245466817895354,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,90,0.0142035,0.0323632,-0.35756540609146653,0.30739939130202254,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,100,0.0147267,0.0320589,-0.3391797793088199,0.2778324636521665,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,125,0.0157788,0.0316462,-0.3053245208534159,0.22510670943079525,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,150,0.0166211,0.0312363,-0.27940738259605225,0.19090751817301355,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,175,0.0171691,0.0308863,-0.2582322445629899,0.1606801929364572,1.1331484530668263,0.6039005332108811
"LogNormal{Float64}(μ=0.0, σ=0.5)",1.7501896550697178,200,0.017689,0.0305896,-0.2417963239621891,0.14054653648300564,1.1331484530668263,0.6039005332108811
