distribution,pop_skewness,sample_size,mean_sampling_skewness,median_sampling_skewness,lower_quantile,upper_quantile
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,150,1.0605499691356257,1.0051654644523444,0.4993572459528173,1.9537649326359168
"Gamma (α = 2.56, θ = 1)",1.25,150,1.1891363838036522,1.1436306770289333,0.655465459220226,1.9895924061360255
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,150,1.2256194587551814,1.1503546454414115,0.607167758057546,2.2902144519303285
"Gamma (α = 2, θ = 1)",1.4142135623730951,150,1.3424174943677079,1.2870244821023566,0.7712305468013011,2.242931058966
"Gamma (α = 1.78, θ = 1)",1.499063377991723,150,1.4190937778654658,1.3615722916118131,0.828259026828919,2.3484921347044865
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,150,1.3981251360741813,1.3057108690867123,0.7108251120749,2.652859588337746
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,150,1.6428396427084977,1.572356035403121,0.9868034482779227,2.724354565803313
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,150,1.5737076609755696,1.462409753311999,0.8106912564707097,3.0301755246495126
"Gamma (α = 1, θ = 1)",2,150,1.8665875308872093,1.7810897251906206,1.1495739171356396,3.096569808049937
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,150,1.7586208198229563,1.6212964070373408,0.9144187372651379,3.438532743776414
"Gamma (α = 0.79, θ = 1)",2.250175801852048,150,2.087528333861747,1.98885060019748,1.2980154234238555,3.467246123660545
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,150,1.9505037641119138,1.7871286305270426,1.0177946191158118,3.898609535702669
"Gamma (α = 0.64, θ = 1)",2.5,150,2.2949586921382696,2.181711805904313,1.4394503424335747,3.840343389241361
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,150,2.142521753534695,1.954433688907109,1.1165371979784307,4.367411462143005
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,150,2.501277962329869,2.3779558476093854,1.575332561103015,4.163904062166166
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,150,2.3373635867895217,2.114595740857883,1.2140463570793645,4.856040320678581
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,150,2.718948699605802,2.5808932693535276,1.721811746134916,4.562926947869528
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,150,2.536077009080902,2.2888082786061315,1.308625133186549,5.318674594250237
"Gamma (α = 16, θ = 1)",0.5,175,0.4837528715725412,0.46975452286510827,0.11201073153196209,0.9354373384231514
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,175,0.7457728464295388,0.7165283630376811,0.3045014622031709,1.363039667429767
"Gamma (α = 4, θ = 1)",1,175,0.9628697108748288,0.9302235118248323,0.5118799962845553,1.6033724982073319
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,175,1.067759714673564,1.0129962283794698,0.5333363164451286,1.9239881074690346
"Gamma (α = 2.56, θ = 1)",1.25,175,1.1977683578890028,1.1545374083338706,0.6951810362731856,1.9502513705192401
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,175,1.2377331861269432,1.169632555212552,0.6477268362807598,2.2467466677954655
"Gamma (α = 2, θ = 1)",1.4142135623730951,175,1.3503055302237412,1.2998887963136774,0.8111147293493464,2.188589417065008
"Gamma (α = 1.78, θ = 1)",1.499063377991723,175,1.4293848949719967,1.376555457735576,0.8661200788358122,2.320532676269207
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,175,1.4138855342198806,1.3262357520427872,0.754112921936196,2.616379689954487
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,175,1.656249244509636,1.5878962863736579,1.0336329518992866,2.681124779082028
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,175,1.5990726394966317,1.4901642379456552,0.8632197268124658,3.0124067265057977
"Gamma (α = 1, θ = 1)",2,175,1.8840793805832656,1.8055994353114948,1.195576808179853,3.0406050857263494
"Log-normal (μ = 0, σ = 0.55)",1.992956625406344,175,1.786746359732544,1.6521193370781528,0.9640142085940698,3.440394003662431
"Gamma (α = 0.79, θ = 1)",2.250175801852048,175,2.104214578676577,2.0129656963981972,1.3450979997546118,3.423156970282963
"Log-normal (μ = 0, σ = 0.6)",2.2600838884867054,175,1.9794025769116372,1.8196993111514193,1.068171510525525,3.906646544349578
"Gamma (α = 0.64, θ = 1)",2.5,175,2.3195623204526528,2.2130969972554952,1.4943849951180215,3.795103583021532
"Log-normal (μ = 0, σ = 0.65)",2.5565396521582318,175,2.1750108046184664,1.9896190359394565,1.1718921116406915,4.334448841852428
"Gamma (α = 0.53, θ = 1)",2.7472112789737806,175,2.5279238453073454,2.40712970969447,1.6324410883951161,4.142387623488698
"Log-normal (μ = 0, σ = 0.7)",2.8883566031310934,175,2.382402265379772,2.1655070814282404,1.2739175604639867,4.8561136049303375
"Gamma (α = 0.44, θ = 1)",3.0151134457776365,175,2.7496756502933275,2.61516963981052,1.7787236258724068,4.549641023461942
"Log-normal (μ = 0, σ = 0.75)",3.262912728207002,175,2.598307126310337,2.3459420434842535,1.3740516780722523,5.402880432927244
"Gamma (α = 16, θ = 1)",0.5,200,0.4867712699471893,0.4742857404918268,0.13474148104012348,0.9113159786337295
"Log-normal (μ = 0, σ = 0.25)",0.7782516357974832,200,0.7523388568613245,0.7260178347161546,0.3321182581070355,1.330594803769235
"Gamma (α = 4, θ = 1)",1,200,0.9670962911954577,0.9377227870074198,0.5398742975731776,1.568911395154546
"Log-normal (μ = 0, σ = 0.35)",1.1300370516687537,200,1.0763469788857696,1.024233787371971,0.5669712701682134,1.8964547219368695
"Gamma (α = 2.56, θ = 1)",1.25,200,1.2034485751235873,1.1630007935759241,0.724355428930793,1.9194990209106404
"Log-normal (μ = 0, σ = 0.4)",1.3219144053987633,200,1.2470914899882508,1.1804767151780569,0.6800818370275926,2.218385077041716
"Gamma (α = 2, θ = 1)",1.4142135623730951,200,1.3587323748163072,1.3105839260495753,0.8358617230778301,2.166086096801216
"Gamma (α = 1.78, θ = 1)",1.499063377991723,200,1.436894249704125,1.3855600482907702,0.8992098371891385,2.285009674502663
"Log-normal (μ = 0, σ = 0.45)",1.527659506242575,200,1.4231661331345613,1.3391850255298103,0.7871291818781497,2.560584871028874
"Gamma (α = 1.31, θ = 1)",1.7474081133220758,200,1.668524806672136,1.6049352863835349,1.0678037066852424,2.6540043896788634
"Log-normal (μ = 0, σ = 0.5)",1.7501896550697178,200,1.6091470216966068,1.504249883200095,0.8951784137323532,2.9536561858980006
"Gamma (α = 1, θ = 1)",2,200,1.8964915574632726,1.8209728831205731,1.2338424621061221,3.002391169657529
